Destination Name,State,Region,Category,Popular Attraction,Famous Places,Accessibility,Nearest Airport,Nearest Railway Station
Agra,Uttar Pradesh,North,Heritage,Taj Mahal,"Taj Mahal, Agra Fort, Fatehpur Sikri, Mehtab Bagh",Easy,Agra Airport,Agra Cantt
Jaipur,Rajasthan,West,Heritage,Amber Fort,"Amber Fort, City Palace, Hawa Mahal, Jantar Mantar, Nahargarh Fort",Easy,Jaipur Airport,Jaipur Junction
Udaipur,Rajasthan,West,Heritage,City Palace,"City Palace, Lake Pichola, Jag Mandir, Fateh Sagar Lake",Easy,Udaipur Airport,Udaipur City
Jaisalmer,Rajasthan,West,Desert,Jaisalmer Fort,"Jaisalmer Fort, Sam Sand Dunes, Patwon Ki Haveli, Gadisar Lake",Moderate,Jaisalmer Airport,Jaisalmer
Mount Abu,Rajasthan,West,Hill Station,Dilwara Temples,"Dilwara Temples, Nakki Lake, Guru Shikhar",Moderate,Udaipur Airport,Abu Road
Varanasi,Uttar Pradesh,North,Religious,Kashi Vishwanath,"Kashi Vishwanath Temple, Dashashwamedh Ghat, Assi Ghat, Sarnath",Moderate,Varanasi Airport,Varanasi Junction
Ayodhya,Uttar Pradesh,North,Religious,Ram Mandir,"Ram Mandir, Hanuman Garhi, Sarayu Ghat",Easy,Ayodhya Airport,Ayodhya Junction
Mathura,Vrindavan,North,Religious,Krishna Janmabhoomi,"Krishna Janmabhoomi, Banke Bihari Temple, Prem Mandir",Easy,Agra Airport,Mathura Junction
Amritsar,Punjab,North,Religious,Golden Temple,"Golden Temple, Jallianwala Bagh, Wagah Border",Easy,Amritsar Airport,Amritsar Junction
Chandigarh,Chandigarh,North,City,Rock Garden,"Rock Garden, Sukhna Lake, Rose Garden",Easy,Chandigarh Airport,Chandigarh
Haridwar,Uttarakhand,North,Religious,Ganga Aarti,"Har Ki Pauri, Mansa Devi, Chandi Devi",Easy,Dehradun Airport,Haridwar
Rishikesh,Uttarakhand,North,Adventure,River Rafting,"Lakshman Jhula, Ram Jhula, Beatles Ashram",Moderate,Dehradun Airport,Rishikesh
Shimla,Himachal Pradesh,North,Hill Station,Mall Road,"Mall Road, Kufri, Jakhoo Temple",Easy,Shimla Airport,Shimla
Manali,Himachal Pradesh,North,Hill Station,Solang Valley,"Solang Valley, Rohtang Pass, Hidimba Temple",Difficult,Bhuntar Airport,Joginder Nagar
Dharamshala,Himachal Pradesh,North,Hill Station,McLeod Ganj,"McLeod Ganj, Dalai Lama Temple, Bhagsu Falls",Moderate,Kangra Airport,Pathankot
Leh,Ladakh,North,Adventure,Pangong Lake,"Pangong Lake, Nubra Valley, Magnetic Hill",Difficult,Leh Airport,Leh
